@relation Spammer
@attribute 'followers_per_followees' numeric
@attribute 'replies_to_tweets' numeric
@attribute 'tweets_with_url_to_total_tweets' numeric
@attribute 'number_of_replies' numeric
@attribute 'hastag_count_to_word_count_mean' numeric
@attribute 'hastag_count_to_word_count_median' numeric
@attribute 'hastag_count_to_word_count_min' numeric
@attribute 'hastag_count_to_word_count_max' numeric
@attribute 'url_count_to_word_count_mean' numeric
@attribute 'url_count_to_word_count_median' numeric
@attribute 'url_count_to_word_count_min' numeric
@attribute 'url_count_to_word_count_max' numeric
@attribute 'characters_per_tweet_mean' numeric
@attribute 'characters_per_tweet_median' numeric
@attribute 'characters_per_tweet_min' numeric
@attribute 'characters_per_tweet_max' numeric
@attribute 'hashtags_per_tweet_mean' numeric
@attribute 'hashtags_per_tweet_median' numeric
@attribute 'hashtags_per_tweet_min' numeric
@attribute 'hashtags_per_tweet_max' numeric
@attribute 'mentions_per_tweet_mean' numeric
@attribute 'mentions_per_tweet_median' numeric
@attribute 'mentions_per_tweet_min' numeric
@attribute 'mentions_per_tweet_max' numeric
@attribute 'numeric_characters_per_tweet_mean' numeric
@attribute 'numeric_characters_per_tweet_median' numeric
@attribute 'numeric_characters_per_tweet_min' numeric
@attribute 'numeric_characters_per_tweet_max' numeric
@attribute 'url_count_per_tweet_mean' numeric
@attribute 'url_count_per_tweet_median' numeric
@attribute 'url_count_per_tweet_min' numeric
@attribute 'url_count_per_tweet_max' numeric
@attribute 'word_count_per_tweet_mean' numeric
@attribute 'word_count_per_tweet_median' numeric
@attribute 'word_count_per_tweet_min' numeric
@attribute 'word_count_per_tweet_max' numeric
@attribute 'retweet_count_mean' numeric
@attribute 'retweet_count_median' numeric
@attribute 'retweet_count_min' numeric
@attribute 'retweet_count_max' numeric
@attribute 'followee_count' numeric
@attribute 'follower_count' numeric
@attribute 'tweet_count' numeric
@attribute 'mention_count' numeric
@attribute 'reply_count' numeric
@attribute 'total_tweet_count_of_followees' numeric
@attribute 'time_between_posts_mean' numeric
@attribute 'time_between_posts_median' numeric
@attribute 'time_between_posts_min' numeric
@attribute 'time_between_posts_max' numeric
@attribute 'post_count_per_day_mean' numeric
@attribute 'post_count_per_day_median' numeric
@attribute 'post_count_per_day_min' numeric
@attribute 'post_count_per_day_max' numeric
@attribute 'post_count_per_week_mean' numeric
@attribute 'post_count_per_week_median' numeric
@attribute 'post_count_per_week_min' numeric
@attribute 'post_count_per_week_max' numeric
@attribute 'spammer' {'yes' 'no'}

@data
2.7387387387,0.122790404,0.0631313131,389,1000000000,0,0,1,1000000000,0,0,0.25,66.4943181818,61,3,152,0.0981691919,0,0,9,0.8090277778,1,0,8,0.6714015152,0,0,60,0.0631313131,0,0,1,11.7288510101,11,0,32,0.2550505051,0,0,3,111,304,23981,0,0,0,1469.5124723713,76,1,85843,57.6,55,1,149,396,374,104,625,no
0.7535211268,0.2520231214,0.2786127168,436,0.013279641,0,0,1,0.0330826937,0,0,0.25,59.0369942197,52,4,144,0.0843930636,0,0,5,0.6682080925,1,0,7,0.8722543353,0,0,24,0.2791907514,0,0,2,10.2959537572,9,1,32,0.0369942197,0,0,2,142,107,1732,0,0,0,25494.7593984962,12935,9,86340,1.0087463557,2,1,17,7.0612244898,7,1,28,no
0.4672364672,0.1509433962,0.2830188679,48,0.0395893578,0,0,1,0.0187001188,0,0,0.2,110.0471698113,121,18,140,0.4308176101,0,0,3,1.0251572327,1,0,5,1.4559748428,0,0,18,0.2893081761,0,0,2,18.1037735849,19,1,32,0.4528301887,0,0,2,351,164,329,0,0,0,26804.8611987382,11650,21,86378,0.3014218009,2,1,11,2.1059602649,4,1,29,no
1.1832669323,0.0953583833,0.1196716135,302,1000000000,0,0,0.1428571429,1000000000,0,0,0.25,60.3463845911,53,1,182,0.0337859173,0,0,3,0.6274076413,1,0,6,0.490685191,0,0,13,0.1196716135,0,0,1,11.2342911272,10,0,42,0.4559520051,0,0,1,251,297,15140,0,0,0,1946.9241945673,340,0,63907,44.6056338028,38,6,110,316.7,293,62,434,no
0.6676557864,0.048951049,0.5087412587,112,0.0145154975,0,0,1,0.0615249878,0.037037037,0,0.25,73.8103146853,70,3,160,0.1416083916,0,0,6,0.6153846154,1,0,8,1.1879370629,1,0,11,0.5201048951,1,0,3,12.5721153846,12,1,34,0.3688811189,0,0,2,337,225,2310,0,0,0,9556.7787494534,608,1,86134,5.3708920188,5,1,41,37.5081967213,26,2,145,no
6.8147208122,0.1264115433,0.3657465496,403,0.0145218604,0,0,1,0.0333220608,0,0,0.25,81.028544542,80,2,156,0.1809912171,0,0,6,0.838770389,1,0,10,1.5072145546,1,0,22,0.4924717691,0,0,6,13.8644918444,13,1,40,0.2136135508,0,0,2,394,2685,61920,0,0,0,3661.1807342328,46,1,86244,13.3949579832,9,1,166,93.7647058824,71,8,332,no
0.6564102564,0.0285714286,0.0857142857,1,0,0,0,0,0.0063644689,0,0,0.0833333333,53.2285714286,39,20,140,0,0,0,0,0.2285714286,0,0,7,0.5428571429,0,0,6,0.0857142857,0,0,1,9.9428571429,8,2,32,0,0,0,0,195,128,35,0,0,0,9872,2243,23,85191,11.6666666667,8,1,15,0,35,35,35,no
0.5254901961,0.085620915,0.058496732,262,1000000000,0,0,1000000000,1000000000,0,0,1000000000,62.1450980392,56,1,148,0.022875817,0,0,3,0.8238562092,1,0,9,0.4928104575,0,0,10,0.058496732,0,0,1,11.3558823529,10,0,33,0.6614379085,1,0,1,765,402,11087,0,0,0,1349.079764629,110,0,55470,65.1063829787,55,10,146,437.1428571429,386,54,630,no
0.0769230769,0,0.3333333333,0,0,0,0,0,0.0833333333,0,0,0.25,27.6666666667,20,19,44,0,0,0,0,0,0,0,0,0.3333333333,0,0,1,0.3333333333,0,0,1,4.6666666667,4,4,6,0,0,0,0,39,3,3,0,0,0,57779,78708,36850,78708,0.0051369863,1,1,1,0.0361445783,1,1,1,no
0.9964539007,0.2393555811,0.2447257384,624,1000000000,0,0,1,1000000000,0,0,0.25,59.9413118527,52,1,183,0.3225930188,0,0,8,0.8891446107,1,0,9,1.0836210203,0,0,23,0.2470272344,0,0,2,9.829689298,9,0,42,0.2654392021,0,0,2,282,281,2698,0,0,0,8782.0506523408,405,0,86032,2.9063545151,4,1,60,20.3671875,21,1,184,no
0.3501243781,0.0711111111,0.2326984127,224,1000000000,0,0,0.6,1000000000,0,0,0.25,78.6558730159,74,2,146,0.1596825397,0,0,7,0.6904761905,1,0,7,0.7298412698,0,0,16,0.2396825397,0,0,4,13.1717460317,12,0,47,0.4342857143,0,0,1,1608,563,4046,0,0,0,5003.4487138774,87,1,86231,11.25,9,1,72,78.75,65,11,197,no
0.8675958188,0.3096527557,0.0853775088,972,1000000000,0,0,1,1000000000,0,0,0.25,61.4593819688,54,4,147,0.0207072316,0,0,2,0.6110226187,1,0,8,0.591908251,0,0,30,0.0853775088,0,0,1,11.459063396,10,0,33,0.1697992991,0,0,1,287,249,14961,0,0,0,6358.8607393244,841,0,85683,13.0791666667,13,1,46,92.3235294118,87,27,161,no
3,0.1593475533,0.2515683814,508,0.0502258488,0,0,1,0.0184445642,0,0,0.25,93.9617314931,95,4,148,0.5962986198,0,0,13,1.332183187,1,0,10,2.0646173149,1,0,34,0.2590966123,0,0,2,15.3340652447,15,1,36,0.5548933501,1,0,3,1067,3201,13495,0,0,0,1906.2117979291,246,0,70621,45.5428571429,37,4,186,318.8,276,190,379,no
0.9105263158,0.0160579345,0.1284634761,51,1000000000,0,0,0.5384615385,1000000000,0,0,0.25,64.6114609572,58,1,148,0.1035894207,0,0,8,0.7389798489,1,0,10,0.6218513854,0,0,31,0.1294080605,0,0,2,11.4852015113,10,0,42,0.552581864,1,0,2,380,346,6822,0,0,0,1083.2677165354,40,0,69388,79.4,60,4,285,529.3333333333,366,50,822,no
0.15625,0.390625,0.09375,25,0.0409953348,0,0,0.5,0.0078882153,0,0,0.1666666667,72.265625,66,19,144,0.265625,0,0,1,0.796875,1,0,4,0.578125,0,0,5,0.109375,0,0,2,12.484375,12,2,30,0.15625,0,0,1,64,10,64,0,0,0,19236.1428571429,4966,6,85107,0.7191011236,2,1,13,4.9230769231,7,2,37,no
1.0588235294,0.3198529412,0.2352941176,174,0.0304613314,0,0,1,0.0208094126,0,0,0.25,84.2316176471,83,3,152,0.2647058824,0,0,3,0.8915441176,1,0,4,0.8180147059,0,0,9,0.2389705882,0,0,2,14.5091911765,14,1,32,0.2628676471,0,0,1,102,108,553,0,0,0,19830.6077348066,7903,3,86144,3.2,3,1,13,22.6666666667,20,7,39,no
0.3825301205,0.2389292796,0.1328486451,723,0.0059923866,0,0,1,0.0143125878,0,0,0.25,61.9567085261,55,1,143,0.0416391276,0,0,2,0.7346331791,1,0,6,0.5753469927,0,0,12,0.1335095836,0,0,2,11.3496364838,10,1,33,0.1807666887,0,0,2,664,254,22164,0,0,0,4000.7054545455,108,1,86145,12.0557768924,9,1,133,84.0555555556,74,8,227,no
0.327014218,0.2538212135,0.1709124595,548,1000000000,0,0,1,1000000000,0,0,0.25,68.4423344141,63,3,144,0.4275127374,0,0,8,1.0259379342,1,0,8,1.085224641,0,0,11,0.1709124595,0,0,1,11.4631773969,10,0,44,0.4339972209,0,0,2,422,138,2274,0,0,0,13826.2576459685,3288,0,86109,4.8846153846,4,1,25,34.2698412698,31,8,86,no
0.6686046512,0.3236842105,0.0921052632,123,0.0069181586,0,0,0.5,0.0121987465,0,0,0.25,48.8605263158,39,4,140,0.0473684211,0,0,2,0.7157894737,1,0,7,0.6105263158,0,0,13,0.0921052632,0,0,1,8.4815789474,7,1,30,0.2473684211,0,0,1,172,115,384,0,0,0,15973.6701846966,1586,6,86382,2.5850340136,3,1,23,18.0952380952,17,1,43,no
4,0.2903225806,0.2322580645,180,0.0519605798,0,0,0.6666666667,0.0144475412,0,0,0.1428571429,103.5193548387,113,13,144,0.6177419355,0,0,6,2.4096774194,2,0,9,1.3725806452,0,0,18,0.2322580645,0,0,1,15.3387096774,16,1,30,0.2709677419,0,0,1,231,924,621,0,0,0,23905.9709208401,6911,4,86068,0.8277703605,2,1,18,5.7943925234,6,1,25,no
0.3064516129,0.2271293375,0.1230283912,144,0.0531890314,0,0,1,0.0115690327,0,0,0.25,82.8548895899,79,11,140,0.4826498423,0,0,4,0.5851735016,1,0,3,0.9952681388,0,0,13,0.1277602524,0,0,2,13.8170347003,13,1,34,0.2050473186,0,0,2,434,133,639,0,0,0,26263.4960505529,10969,1,86329,0.5137763371,2,1,14,3.6022727273,4,1,35,no
