@relation Spammer
@attribute 'followers_per_followees' numeric
@attribute 'replies_to_tweets' numeric
@attribute 'tweets_with_url_to_total_tweets' numeric
@attribute 'number_of_replies' numeric
@attribute 'hastag_count_to_word_count_mean' numeric
@attribute 'hastag_count_to_word_count_median' numeric
@attribute 'hastag_count_to_word_count_min' numeric
@attribute 'hastag_count_to_word_count_max' numeric
@attribute 'url_count_to_word_count_mean' numeric
@attribute 'url_count_to_word_count_median' numeric
@attribute 'url_count_to_word_count_min' numeric
@attribute 'url_count_to_word_count_max' numeric
@attribute 'characters_per_tweet_mean' numeric
@attribute 'characters_per_tweet_median' numeric
@attribute 'characters_per_tweet_min' numeric
@attribute 'characters_per_tweet_max' numeric
@attribute 'hashtags_per_tweet_mean' numeric
@attribute 'hashtags_per_tweet_median' numeric
@attribute 'hashtags_per_tweet_min' numeric
@attribute 'hashtags_per_tweet_max' numeric
@attribute 'mentions_per_tweet_mean' numeric
@attribute 'mentions_per_tweet_median' numeric
@attribute 'mentions_per_tweet_min' numeric
@attribute 'mentions_per_tweet_max' numeric
@attribute 'numeric_characters_per_tweet_mean' numeric
@attribute 'numeric_characters_per_tweet_median' numeric
@attribute 'numeric_characters_per_tweet_min' numeric
@attribute 'numeric_characters_per_tweet_max' numeric
@attribute 'url_count_per_tweet_mean' numeric
@attribute 'url_count_per_tweet_median' numeric
@attribute 'url_count_per_tweet_min' numeric
@attribute 'url_count_per_tweet_max' numeric
@attribute 'word_count_per_tweet_mean' numeric
@attribute 'word_count_per_tweet_median' numeric
@attribute 'word_count_per_tweet_min' numeric
@attribute 'word_count_per_tweet_max' numeric
@attribute 'retweet_count_mean' numeric
@attribute 'retweet_count_median' numeric
@attribute 'retweet_count_min' numeric
@attribute 'retweet_count_max' numeric
@attribute 'followee_count' numeric
@attribute 'follower_count' numeric
@attribute 'tweet_count' numeric
@attribute 'mention_count' numeric
@attribute 'reply_count' numeric
@attribute 'total_tweet_count_of_followees' numeric
@attribute 'time_between_posts_mean' numeric
@attribute 'time_between_posts_median' numeric
@attribute 'time_between_posts_min' numeric
@attribute 'time_between_posts_max' numeric
@attribute 'post_count_per_day_mean' numeric
@attribute 'post_count_per_day_median' numeric
@attribute 'post_count_per_day_min' numeric
@attribute 'post_count_per_day_max' numeric
@attribute 'post_count_per_week_mean' numeric
@attribute 'post_count_per_week_median' numeric
@attribute 'post_count_per_week_min' numeric
@attribute 'post_count_per_week_max' numeric
@attribute 'spammer' {'yes' 'no'}

@data
0.6829268293,0.347826087,0.1847826087,32,0.0088,0,0,0.25,0.0202,0,0,0.25,96.9565,95,19,144,0.087,0,0,1,0.8696,1,0,9,0.5978,0,0,4,0.1848,0,0,1,16.5217,15,2,30,0.1196,0,0,1,41,28,92,51,31,98989,21957.8352,703,59,182676,3.8333,4,0,11,23,24,12,32,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,105,105,105,105,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,6,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,yes
0.1666666667,0,0.4538461538,0,0.0465,0.09091,0,1,0.0658,0,0,1,101.3154,68,15,515,0.5154,1,0,8,0,0,0,0,0.7731,0,0,21,0.4538,0,0,1,14.9346,11,1,28,0,0,0,0,210,35,260,1,1,335402,4561.2317,6108,1,29279,18.5714,17,13,24,130,136,124,136,yes
1.9875,0.0941176471,0.8352941176,40,0.0433,0,0,0.4444,0.0655,0.0625,0,0.25,102.7482,132,17,154,0.6165,0,0,5,0.5694,1,0,5,0.5906,2,0,7,0.8471,1,0,2,14.7671,16,3,28,0.3247,1,0,2,80,159,425,20,18,595492,20191.8491,424,2,522862,4.25,1,0,39,28.3333,9,1,138,yes
1.0007014262,0.6538461538,0.1923076923,17,0.0173,0,0,0.0909,0.0148,0,0,0.125,106.5385,140,9,143,0.2308,0,0,1,2.6923,1,0,10,1.5385,3,0,6,0.1923,0,0,1,14.5385,24,2,25,0.2692,1,0,2,4277,4280,29,60,19,7356392,257839.04,54,42,1440564,0.3467,0,0,5,2.3636,1,0,8,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,104,104,104,104,1,1,1,1,0,0,0,0,2,2,2,2,1,1,1,1,6,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,yes
0.6258064516,0.2941176471,0.3936651584,65,0.0082,0,0,0.1429,0.0361,0.0625,0,0.25,88.1674,106,15,149,0.1176,0,0,2,0.5701,1,0,9,0.6833,1,0,5,0.3982,1,0,2,13.8235,16,2,28,0.1855,1,0,3,155,97,213,26,18,303369,176152.3091,178,28,17753159,0.4922,0,0,12,3.4,0,0,38,yes
0,0,1,0,0.0222,0,0,0.1111,0.1204,0.1,0.0909,0.2,77.4,81,61,84,0.2,0,0,1,0,0,0,0,2.8,3,2,4,1,1,1,1,9,10,5,11,0,0,0,0,0,0,5,0,0,0,728388.75,64,64,2913363,0.1471,0,0,4,1,0,0,4,yes
0.6140350877,0.2883845127,0.1348464619,216,0.0096,0,0,0.3333,0.0167,0,0,0.5,69.2003,19,4,158,0.1162,0,0,3,0.3872,0,0,4,0.3311,0,0,4,0.1389,0,0,2,11.3698,3,1,30,0.0961,0,0,4,114,70,749,70,59,311237,53499.8075,80712,7,1875939,1.6142,0,0,23,11.1791,2,0,66,yes
1.05,0.1885714286,0.0171428571,33,0,0,0,0,0.0023,0,0,0.2,51.7086,19,6,152,0,0,0,0,0.1943,0,0,1,0.2286,0,0,3,0.0171,0,0,1,8.4343,4,1,29,0,0,0,0,20,21,175,21,21,9571,58445.9943,4627,46,1048812,1.4831,0,0,9,10.2941,0,0,32,yes
